Date,SubDivision,GangId,OrderNumber,OperationNumber,TrackId,MegaWorkBlock,ShadowWorkBlock,SplitWorkBlock,WBMileFrom,WBMileTo,AnchorPattern,SpikePattern,CwrTerritory,DestressingMethod,ClosureType,NumberofInsulatedJoints,NumberofTransitionRails,NumberofCompromiseRails,FastenerTypeTie,PlateChangeOutRequired,RailType,TravelTimeDuringBlocks,ActualStartTime,ActualEndTime,NumberofTampers,ExpectedOutput,ConfidenceLevel,Version,workBlockPlannedMinutes
00:00.0,WAINWRIGHT,W50P0R06,NULL,310,1,Yes,Yes,Yes,147.2400055,147.6399994,Pattern 10,B,No,PULLERS,NULL,0,1,0,NA,Yes,New,20,NULL,NULL,NULL,3153,72,1,600
00:00.0,WAINWRIGHT,W50P0R02,NULL,310,1,Yes,Yes,Yes,222.9700012,223.5099945,Pattern 10,B,No,PULLERS,NULL,0,2,0,NA,Yes,New,0,NULL,NULL,NULL,2983,72,1,600
00:00.0,WAINWRIGHT,W50P0R02,NULL,310,1,Yes,Yes,Yes,222.9700012,223.5099945,Pattern 10,B,No,NONE,NULL,0,2,0,NA,Yes,New,0,NULL,NULL,NULL,2951,72,1,600
00:00.0,WAINWRIGHT,W50P0R07,NULL,310,1,Yes,Yes,Yes,156.1199951,151,Pattern 10,D,No,NONE,NULL,0,1,0,NA,Yes,New,60,NULL,NULL,NULL,3165,72,1,600
00:00.0,WAINWRIGHT,W50P0R07,NULL,310,1,Yes,Yes,Yes,156.1199951,151,Pattern 10,B,No,NONE,NULL,0,0,0,NA,Yes,New,60,NULL,NULL,NULL,3336,72,1,600
00:00.0,WAINWRIGHT,W50P0R05,NULL,310,1,Yes,Yes,Yes,180.3800049,181.3999939,Pattern 10,B,No,NONE,NULL,1,0,0,NA,Yes,New,0,NULL,NULL,NULL,4475,72,1,600
00:00.0,WAINWRIGHT,W50P0R03,NULL,310,1,Yes,Yes,Yes,158.5099945,159.2899933,Pattern 10,B,No,HEATERS,NULL,1,1,0,NA,Yes,New,0,NULL,NULL,NULL,3766,72,1,600
00:00.0,WAINWRIGHT,W50P0R03,NULL,310,1,Yes,Yes,Yes,158.5099945,159.2899933,Pattern 10,B,No,PULLERS,NULL,0,0,0,NA,Yes,New,0,NULL,NULL,NULL,3637,72,1,600
00:00.0,WAINWRIGHT,W50P0R08,NULL,310,1,Yes,Yes,Yes,148.4100037,158.7899933,Pattern 10,B,No,NONE,NULL,0,0,0,NA,Yes,New,0,NULL,NULL,NULL,1941,72,1,300
00:00.0,WAINWRIGHT,W50P0R08,NULL,310,1,Yes,Yes,Yes,148.4100037,158.7899933,Pattern 10,B,No,NONE,NULL,0,1,0,NA,Yes,New,0,NULL,NULL,NULL,1914,72,1,300
